,AOU,Variables,Estimate,Q2.5,Q97.5
382,3120,Temp,-0.07066328,-0.222459221,0.076926206
383,3160,Temp,-1.21411469,-1.346202673,-1.083484259
384,3190,Temp,0.019589738,-0.167795675,0.207899186
385,3200,Temp,-0.538441549,-0.749503265,-0.327358911
386,3870,Temp,-0.587927517,-0.676712548,-0.501584593
387,3880,Temp,-0.068052587,-0.173414949,0.036151874
388,3930,Temp,0.074454556,-0.014415817,0.160437875
389,3940,Temp,0.188911701,0.100550072,0.274299011
390,3960,Temp,-0.033588455,-0.244887205,0.177925232
391,4020,Temp,0.342978279,0.215660066,0.467882874
392,4021,Temp,0.287616414,0.123986765,0.451221687
393,4060,Temp,-0.092408314,-0.18694733,-0.000550233
394,4090,Temp,0.151741374,0.008510129,0.293815005
395,4120,Temp,-0.060383527,-0.152525636,0.028811119
396,4290,Temp,0.123395773,-0.024867641,0.267236775
397,4320,Temp,1.362057095,1.115871538,1.612349928
398,4330,Temp,0.280987356,0.10491274,0.453663134
399,4430,Temp,-0.30534117,-0.502147179,-0.107151833
400,4440,Temp,0.094326389,-0.001501205,0.186595617
401,4470,Temp,0.293055893,0.19070907,0.396274921
402,4480,Temp,0.960405209,0.728817936,1.1905043
403,4520,Temp,0.352238437,0.251817948,0.449170037
404,4540,Temp,0.372484227,0.184162064,0.559195754
405,4560,Temp,0.631209548,0.527017243,0.735497237
406,4570,Temp,0.298763991,0.193890481,0.402240636
407,4590,Temp,0.786562603,0.683834561,0.887998499
408,4610,Temp,0.547367358,0.449362424,0.64172805
409,4620,Temp,0.518143291,0.415565677,0.61976883
410,4640,Temp,0.820067889,0.640315905,0.99621857
411,4641,Temp,0.038106496,-0.107397935,0.186243852
412,4650,Temp,-0.092883483,-0.188738924,-0.000252238
413,4660,Temp,-0.385233236,-0.477948281,-0.292080814
414,4670,Temp,-0.364436808,-0.466722798,-0.264723306
415,4680,Temp,0.045675792,-0.055823802,0.146908311
416,4690,Temp,-0.049944065,-0.182462074,0.079394141
417,4691,Temp,0.15106757,0.004712009,0.29480388
418,4750,Temp,-0.360514632,-0.465215355,-0.258097542
419,4770,Temp,0.268672006,0.127927426,0.412166541
420,4780,Temp,-0.628102104,-0.77041892,-0.488076316
421,4812,Temp,-0.396045399,-0.66424975,-0.134248531
422,4840,Temp,-0.367214266,-0.561139259,-0.18080129
423,4880,Temp,0.618186527,0.500751289,0.737725393
424,4900,Temp,0.482781648,0.362713579,0.599229051
425,4910,Temp,0.382530073,0.2406362,0.526062293
426,4940,Temp,-0.392048148,-0.491073689,-0.294948689
427,4950,Temp,-0.148799842,-0.243624148,-0.058217593
428,4970,Temp,0.7473803,0.623132526,0.870384244
429,4980,Temp,-0.321374255,-0.425990685,-0.221716602
430,5010,Temp,0.002787808,-0.095128338,0.100283368
431,5011,Temp,0.252955276,0.155641453,0.346838731
432,5060,Temp,-0.519572271,-0.616103711,-0.42840046
433,5070,Temp,-0.481496535,-0.573642277,-0.390512502
434,5080,Temp,0.238305825,0.122482107,0.353766038
435,5100,Temp,0.526673796,0.387467759,0.663479057
436,5110,Temp,-0.351640862,-0.447154495,-0.25903271
437,5120,Temp,0.392796041,0.265867617,0.522074208
438,5170,Temp,0.458915749,0.338728233,0.576113327
439,5180,Temp,0.129510398,-0.022357471,0.277696599
440,5190,Temp,-0.370604987,-0.456075928,-0.288564334
441,5210,Temp,-0.045126813,-0.164868272,0.073554612
442,5220,Temp,-0.765539072,-0.99737712,-0.536080534
443,5290,Temp,-0.660447825,-0.755817768,-0.56939865
444,5300,Temp,-0.174736948,-0.292317233,-0.06036544
445,5330,Temp,-0.005967486,-0.117493247,0.103481805
446,5400,Temp,-0.34862923,-0.446108502,-0.253904418
447,5460,Temp,-0.303419086,-0.394116254,-0.216795376
448,5480,Temp,-0.172363864,-0.369327763,0.01914052
449,5520,Temp,0.032175895,-0.067639799,0.129338905
450,5540,Temp,0.040655438,-0.266377288,0.352657091
451,5580,Temp,0.310349309,0.160356984,0.456451405
452,5600,Temp,-0.299729323,-0.393673205,-0.206732968
453,5610,Temp,0.436801628,0.317965489,0.556333898
454,5620,Temp,-0.16250807,-0.277820706,-0.048847798
455,5630,Temp,-0.109193565,-0.204433071,-0.016695358
456,5730,Temp,-0.2102607,-0.39633214,-0.030506504
457,5780,Temp,0.690035709,0.544095031,0.83238595
458,5810,Temp,0.377886126,0.277735319,0.472735906
459,5840,Temp,0.029933099,-0.077101435,0.133083702
460,5850,Temp,0.336790224,0.174810403,0.496964707
461,5870,Temp,-0.461418506,-0.565388866,-0.359766155
462,5880,Temp,-0.330817585,-0.447985838,-0.213232613
463,5900,Temp,0.456216319,0.288136897,0.62635418
464,5930,Temp,-1.660462706,-1.820400701,-1.503525164
465,5950,Temp,-0.430090915,-0.524807478,-0.335857793
466,5960,Temp,0.06860536,-0.037670078,0.173408851
467,5970,Temp,-0.628180436,-0.721440176,-0.539527805
468,5980,Temp,-1.202782052,-1.311463614,-1.096872876
469,5990,Temp,0.450911433,0.326811869,0.573010865
470,6010,Temp,-0.359111655,-0.513750096,-0.204474826
471,6040,Temp,-0.291304029,-0.378881925,-0.205245222
472,6050,Temp,0.079691809,-0.039928123,0.195757199
473,6070,Temp,0.250500936,0.13589284,0.364867708
474,6080,Temp,0.506095225,0.408934574,0.602850278
475,6100,Temp,-0.870626853,-0.972339802,-0.772035976
476,6120,Temp,0.163725328,0.068645591,0.258801283
477,6130,Temp,-0.508852977,-0.602019465,-0.418479301
478,6140,Temp,-0.510580402,-0.597903164,-0.426883181
479,6150,Temp,-0.007748147,-0.116145193,0.096260641
480,6160,Temp,0.166229595,0.081419881,0.250705108
481,6170,Temp,-0.213606223,-0.306195737,-0.124015776
482,6190,Temp,-0.461591251,-0.550358436,-0.375317797
483,6220,Temp,0.267750705,0.172046274,0.362114856
484,6240,Temp,1.286517451,1.191329325,1.381256403
485,6270,Temp,-0.246340573,-0.337394276,-0.156764441
486,6280,Temp,0.602799887,0.503529481,0.701820155
487,6290,Temp,0.193566167,0.080332915,0.30312233
488,6291,Temp,-0.182645635,-0.354415748,-0.014336624
489,6292,Temp,0.268054064,0.111651709,0.418892107
490,6310,Temp,-0.629309397,-0.741928646,-0.519498219
491,6330,Temp,-0.236879156,-0.376116921,-0.103758914
492,6360,Temp,0.025946887,-0.081453118,0.133564381
493,6370,Temp,-0.054994907,-0.177763546,0.065962451
