"FocalAOU","AOU_OUT","FAMILY","PRIMARY_COM_NAME.x","PRIMARY_COM_NAME.y"
3870,3840,"Cuculidae","Groove-billed Ani","Yellow-billed Cuckoo"
3930,4151,"Picidae","Eurasian Wryneck","Hairy Woodpecker"
3930,4080,"Picidae","Lewis's Woodpecker","Hairy Woodpecker"
3930,13790,"Picidae","Puerto Rican Woodpecker","Hairy Woodpecker"
3930,4060,"Picidae","Red-headed Woodpecker","Hairy Woodpecker"
3930,4070,"Picidae","Acorn Woodpecker","Hairy Woodpecker"
3930,4110,"Picidae","Gila Woodpecker","Hairy Woodpecker"
3930,4100,"Picidae","Golden-fronted Woodpecker","Hairy Woodpecker"
3930,4090,"Picidae","Red-bellied Woodpecker","Hairy Woodpecker"
3930,4040,"Picidae","Williamson's Sapsucker","Hairy Woodpecker"
3930,4020,"Picidae","Yellow-bellied Sapsucker","Hairy Woodpecker"
3930,4021,"Picidae","Red-naped Sapsucker","Hairy Woodpecker"
3930,4030,"Picidae","Red-breasted Sapsucker","Hairy Woodpecker"
3930,4022,"Picidae","sapsucker sp.","Hairy Woodpecker"
3930,3960,"Picidae","Ladder-backed Woodpecker","Hairy Woodpecker"
3930,3970,"Picidae","Nuttall's Woodpecker","Hairy Woodpecker"
3930,3940,"Picidae","Downy Woodpecker","Hairy Woodpecker"
3930,3930,"Picidae","Hairy Woodpecker","Hairy Woodpecker"
3930,3975,"Picidae","Arizona Woodpecker","Hairy Woodpecker"
3930,3980,"Picidae","Strickland's Woodpecker","Hairy Woodpecker"
3930,3950,"Picidae","Red-cockaded Woodpecker","Hairy Woodpecker"
3930,3990,"Picidae","White-headed Woodpecker","Hairy Woodpecker"
3930,4010,"Picidae","American Three-toed Woodpecker","Hairy Woodpecker"
3930,4000,"Picidae","Black-backed Woodpecker","Hairy Woodpecker"
3930,4120,"Picidae","Northern Flicker","Hairy Woodpecker"
3930,4120,"Picidae","Northern Flicker (Yellow-shafted)","Hairy Woodpecker"
3930,4120,"Picidae","Northern Flicker (intergrade)","Hairy Woodpecker"
3930,4120,"Picidae","Northern Flicker (Red-shafted)","Hairy Woodpecker"
3930,4140,"Picidae","Gilded Flicker","Hairy Woodpecker"
3930,14010,"Picidae","Lineated Woodpecker","Hairy Woodpecker"
3930,4050,"Picidae","Pileated Woodpecker","Hairy Woodpecker"
3930,14040,"Picidae","Pale-billed Woodpecker","Hairy Woodpecker"
3930,3920,"Picidae","woodpecker sp.","Hairy Woodpecker"
3940,4151,"Picidae","Eurasian Wryneck","Downy Woodpecker"
3940,4080,"Picidae","Lewis's Woodpecker","Downy Woodpecker"
3940,13790,"Picidae","Puerto Rican Woodpecker","Downy Woodpecker"
3940,4060,"Picidae","Red-headed Woodpecker","Downy Woodpecker"
3940,4070,"Picidae","Acorn Woodpecker","Downy Woodpecker"
3940,4110,"Picidae","Gila Woodpecker","Downy Woodpecker"
3940,4100,"Picidae","Golden-fronted Woodpecker","Downy Woodpecker"
3940,4090,"Picidae","Red-bellied Woodpecker","Downy Woodpecker"
3940,4040,"Picidae","Williamson's Sapsucker","Downy Woodpecker"
3940,4020,"Picidae","Yellow-bellied Sapsucker","Downy Woodpecker"
3940,4021,"Picidae","Red-naped Sapsucker","Downy Woodpecker"
3940,4030,"Picidae","Red-breasted Sapsucker","Downy Woodpecker"
3940,4022,"Picidae","sapsucker sp.","Downy Woodpecker"
3940,3960,"Picidae","Ladder-backed Woodpecker","Downy Woodpecker"
3940,3970,"Picidae","Nuttall's Woodpecker","Downy Woodpecker"
3940,3940,"Picidae","Downy Woodpecker","Downy Woodpecker"
3940,3930,"Picidae","Hairy Woodpecker","Downy Woodpecker"
3940,3975,"Picidae","Arizona Woodpecker","Downy Woodpecker"
3940,3980,"Picidae","Strickland's Woodpecker","Downy Woodpecker"
3940,3950,"Picidae","Red-cockaded Woodpecker","Downy Woodpecker"
3940,3990,"Picidae","White-headed Woodpecker","Downy Woodpecker"
3940,4010,"Picidae","American Three-toed Woodpecker","Downy Woodpecker"
3940,4000,"Picidae","Black-backed Woodpecker","Downy Woodpecker"
3940,4120,"Picidae","Northern Flicker","Downy Woodpecker"
3940,4120,"Picidae","Northern Flicker (Yellow-shafted)","Downy Woodpecker"
3940,4120,"Picidae","Northern Flicker (intergrade)","Downy Woodpecker"
3940,4120,"Picidae","Northern Flicker (Red-shafted)","Downy Woodpecker"
3940,4140,"Picidae","Gilded Flicker","Downy Woodpecker"
3940,14010,"Picidae","Lineated Woodpecker","Downy Woodpecker"
3940,4050,"Picidae","Pileated Woodpecker","Downy Woodpecker"
3940,14040,"Picidae","Pale-billed Woodpecker","Downy Woodpecker"
3940,3920,"Picidae","woodpecker sp.","Downy Woodpecker"
3960,4151,"Picidae","Eurasian Wryneck","Ladder-backed Woodpecker"
3960,4080,"Picidae","Lewis's Woodpecker","Ladder-backed Woodpecker"
3960,13790,"Picidae","Puerto Rican Woodpecker","Ladder-backed Woodpecker"
3960,4060,"Picidae","Red-headed Woodpecker","Ladder-backed Woodpecker"
3960,4070,"Picidae","Acorn Woodpecker","Ladder-backed Woodpecker"
3960,4110,"Picidae","Gila Woodpecker","Ladder-backed Woodpecker"
3960,4100,"Picidae","Golden-fronted Woodpecker","Ladder-backed Woodpecker"
3960,4090,"Picidae","Red-bellied Woodpecker","Ladder-backed Woodpecker"
3960,4040,"Picidae","Williamson's Sapsucker","Ladder-backed Woodpecker"
3960,4020,"Picidae","Yellow-bellied Sapsucker","Ladder-backed Woodpecker"
3960,4021,"Picidae","Red-naped Sapsucker","Ladder-backed Woodpecker"
3960,4030,"Picidae","Red-breasted Sapsucker","Ladder-backed Woodpecker"
3960,4022,"Picidae","sapsucker sp.","Ladder-backed Woodpecker"
3960,3960,"Picidae","Ladder-backed Woodpecker","Ladder-backed Woodpecker"
3960,3970,"Picidae","Nuttall's Woodpecker","Ladder-backed Woodpecker"
3960,3940,"Picidae","Downy Woodpecker","Ladder-backed Woodpecker"
3960,3930,"Picidae","Hairy Woodpecker","Ladder-backed Woodpecker"
3960,3975,"Picidae","Arizona Woodpecker","Ladder-backed Woodpecker"
3960,3980,"Picidae","Strickland's Woodpecker","Ladder-backed Woodpecker"
3960,3950,"Picidae","Red-cockaded Woodpecker","Ladder-backed Woodpecker"
3960,3990,"Picidae","White-headed Woodpecker","Ladder-backed Woodpecker"
3960,4010,"Picidae","American Three-toed Woodpecker","Ladder-backed Woodpecker"
3960,4000,"Picidae","Black-backed Woodpecker","Ladder-backed Woodpecker"
3960,4120,"Picidae","Northern Flicker","Ladder-backed Woodpecker"
3960,4120,"Picidae","Northern Flicker (Yellow-shafted)","Ladder-backed Woodpecker"
3960,4120,"Picidae","Northern Flicker (intergrade)","Ladder-backed Woodpecker"
3960,4120,"Picidae","Northern Flicker (Red-shafted)","Ladder-backed Woodpecker"
3960,4140,"Picidae","Gilded Flicker","Ladder-backed Woodpecker"
3960,14010,"Picidae","Lineated Woodpecker","Ladder-backed Woodpecker"
3960,4050,"Picidae","Pileated Woodpecker","Ladder-backed Woodpecker"
3960,14040,"Picidae","Pale-billed Woodpecker","Ladder-backed Woodpecker"
3960,3920,"Picidae","woodpecker sp.","Ladder-backed Woodpecker"
3970,4151,"Picidae","Eurasian Wryneck","Nuttall's Woodpecker"
3970,4080,"Picidae","Lewis's Woodpecker","Nuttall's Woodpecker"
3970,13790,"Picidae","Puerto Rican Woodpecker","Nuttall's Woodpecker"
3970,4060,"Picidae","Red-headed Woodpecker","Nuttall's Woodpecker"
3970,4070,"Picidae","Acorn Woodpecker","Nuttall's Woodpecker"
3970,4110,"Picidae","Gila Woodpecker","Nuttall's Woodpecker"
3970,4100,"Picidae","Golden-fronted Woodpecker","Nuttall's Woodpecker"
3970,4090,"Picidae","Red-bellied Woodpecker","Nuttall's Woodpecker"
3970,4040,"Picidae","Williamson's Sapsucker","Nuttall's Woodpecker"
3970,4020,"Picidae","Yellow-bellied Sapsucker","Nuttall's Woodpecker"
3970,4021,"Picidae","Red-naped Sapsucker","Nuttall's Woodpecker"
3970,4030,"Picidae","Red-breasted Sapsucker","Nuttall's Woodpecker"
3970,4022,"Picidae","sapsucker sp.","Nuttall's Woodpecker"
3970,3960,"Picidae","Ladder-backed Woodpecker","Nuttall's Woodpecker"
3970,3970,"Picidae","Nuttall's Woodpecker","Nuttall's Woodpecker"
3970,3940,"Picidae","Downy Woodpecker","Nuttall's Woodpecker"
3970,3930,"Picidae","Hairy Woodpecker","Nuttall's Woodpecker"
3970,3975,"Picidae","Arizona Woodpecker","Nuttall's Woodpecker"
3970,3980,"Picidae","Strickland's Woodpecker","Nuttall's Woodpecker"
3970,3950,"Picidae","Red-cockaded Woodpecker","Nuttall's Woodpecker"
3970,3990,"Picidae","White-headed Woodpecker","Nuttall's Woodpecker"
3970,4010,"Picidae","American Three-toed Woodpecker","Nuttall's Woodpecker"
3970,4000,"Picidae","Black-backed Woodpecker","Nuttall's Woodpecker"
3970,4120,"Picidae","Northern Flicker","Nuttall's Woodpecker"
3970,4120,"Picidae","Northern Flicker (Yellow-shafted)","Nuttall's Woodpecker"
3970,4120,"Picidae","Northern Flicker (intergrade)","Nuttall's Woodpecker"
3970,4120,"Picidae","Northern Flicker (Red-shafted)","Nuttall's Woodpecker"
3970,4140,"Picidae","Gilded Flicker","Nuttall's Woodpecker"
3970,14010,"Picidae","Lineated Woodpecker","Nuttall's Woodpecker"
3970,4050,"Picidae","Pileated Woodpecker","Nuttall's Woodpecker"
3970,14040,"Picidae","Pale-billed Woodpecker","Nuttall's Woodpecker"
3970,3920,"Picidae","woodpecker sp.","Nuttall's Woodpecker"
4020,4151,"Picidae","Eurasian Wryneck","Yellow-bellied Sapsucker"
4020,4080,"Picidae","Lewis's Woodpecker","Yellow-bellied Sapsucker"
4020,13790,"Picidae","Puerto Rican Woodpecker","Yellow-bellied Sapsucker"
4020,4060,"Picidae","Red-headed Woodpecker","Yellow-bellied Sapsucker"
4020,4070,"Picidae","Acorn Woodpecker","Yellow-bellied Sapsucker"
4020,4110,"Picidae","Gila Woodpecker","Yellow-bellied Sapsucker"
4020,4100,"Picidae","Golden-fronted Woodpecker","Yellow-bellied Sapsucker"
4020,4090,"Picidae","Red-bellied Woodpecker","Yellow-bellied Sapsucker"
4020,4040,"Picidae","Williamson's Sapsucker","Yellow-bellied Sapsucker"
4020,4020,"Picidae","Yellow-bellied Sapsucker","Yellow-bellied Sapsucker"
4020,4021,"Picidae","Red-naped Sapsucker","Yellow-bellied Sapsucker"
4020,4030,"Picidae","Red-breasted Sapsucker","Yellow-bellied Sapsucker"
4020,4022,"Picidae","sapsucker sp.","Yellow-bellied Sapsucker"
4020,3960,"Picidae","Ladder-backed Woodpecker","Yellow-bellied Sapsucker"
4020,3970,"Picidae","Nuttall's Woodpecker","Yellow-bellied Sapsucker"
4020,3940,"Picidae","Downy Woodpecker","Yellow-bellied Sapsucker"
4020,3930,"Picidae","Hairy Woodpecker","Yellow-bellied Sapsucker"
4020,3975,"Picidae","Arizona Woodpecker","Yellow-bellied Sapsucker"
4020,3980,"Picidae","Strickland's Woodpecker","Yellow-bellied Sapsucker"
4020,3950,"Picidae","Red-cockaded Woodpecker","Yellow-bellied Sapsucker"
4020,3990,"Picidae","White-headed Woodpecker","Yellow-bellied Sapsucker"
4020,4010,"Picidae","American Three-toed Woodpecker","Yellow-bellied Sapsucker"
4020,4000,"Picidae","Black-backed Woodpecker","Yellow-bellied Sapsucker"
4020,4120,"Picidae","Northern Flicker","Yellow-bellied Sapsucker"
4020,4120,"Picidae","Northern Flicker (Yellow-shafted)","Yellow-bellied Sapsucker"
4020,4120,"Picidae","Northern Flicker (intergrade)","Yellow-bellied Sapsucker"
4020,4120,"Picidae","Northern Flicker (Red-shafted)","Yellow-bellied Sapsucker"
4020,4140,"Picidae","Gilded Flicker","Yellow-bellied Sapsucker"
4020,14010,"Picidae","Lineated Woodpecker","Yellow-bellied Sapsucker"
4020,4050,"Picidae","Pileated Woodpecker","Yellow-bellied Sapsucker"
4020,14040,"Picidae","Pale-billed Woodpecker","Yellow-bellied Sapsucker"
4020,3920,"Picidae","woodpecker sp.","Yellow-bellied Sapsucker"
4050,4151,"Picidae","Eurasian Wryneck","Pileated Woodpecker"
4050,4080,"Picidae","Lewis's Woodpecker","Pileated Woodpecker"
4050,13790,"Picidae","Puerto Rican Woodpecker","Pileated Woodpecker"
4050,4060,"Picidae","Red-headed Woodpecker","Pileated Woodpecker"
4050,4070,"Picidae","Acorn Woodpecker","Pileated Woodpecker"
4050,4110,"Picidae","Gila Woodpecker","Pileated Woodpecker"
4050,4100,"Picidae","Golden-fronted Woodpecker","Pileated Woodpecker"
4050,4090,"Picidae","Red-bellied Woodpecker","Pileated Woodpecker"
4050,4040,"Picidae","Williamson's Sapsucker","Pileated Woodpecker"
4050,4020,"Picidae","Yellow-bellied Sapsucker","Pileated Woodpecker"
4050,4021,"Picidae","Red-naped Sapsucker","Pileated Woodpecker"
4050,4030,"Picidae","Red-breasted Sapsucker","Pileated Woodpecker"
4050,4022,"Picidae","sapsucker sp.","Pileated Woodpecker"
4050,3960,"Picidae","Ladder-backed Woodpecker","Pileated Woodpecker"
4050,3970,"Picidae","Nuttall's Woodpecker","Pileated Woodpecker"
