AOU,CommonName,Route Expected,MeanN,logN,Mass(g),logMass,migclass,10yr Prop,Foraging,Trophic Group
5580,White-throated Sparrow,174,22.44786111,1.351174967,25.9,1.413299764,short,0.73,ground glean,insct/om
5610,Clay-colored Sparrow,115,16.08607524,1.206450096,12,1.079181246,neotrop,0.73,ground glean,insct/om
6710,Pine Warbler,293,7.066176895,0.849184505,12,1.079181246,short,0.73,bark glean,insct/om
4940,Bobolink,351,10.8369701,1.034907875,28.75,1.458637849,neotrop,0.727,ground glean,insct/om
7460,Verdin,33,8.703962375,0.939717005,7,0.84509804,resid,0.727,foliage glean,insectivore
3190,White-winged Dove,29,20.22272487,1.305839673,153,2.184691431,short,0.724,ground glean,granivore
2940,California Quail,86,10.27866603,1.011936755,176,2.245512668,resid,0.721,ground glean,granivore
6270,Warbling Vireo,697,6.476860394,0.811364536,15,1.176091259,neotrop,0.72,foliage glean,insectivore
5170,Purple Finch,278,3.120427643,0.494214117,25,1.397940009,short,0.719,ground glean,granivore
6480,Northern Parula,408,3.931587667,0.594567964,9,0.954242509,neotrop,0.718,foliage glean,insectivore
7290,Brown-headed Nuthatch,110,3.205764476,0.505931612,10,1,resid,0.718,bark glean,insectivore
7270,White-breasted Nuthatch,721,3.00705396,0.478141221,21,1.322219295,resid,0.717,bark glean,insectivore
3930,Hairy Woodpecker,776,1.694036367,0.228922729,66.25,1.821185883,resid,0.714,bark glean,insectivore
7560,Veery,317,7.74471376,0.889005371,31,1.491361694,neotrop,0.713,ground glean,insectivore
6550,Yellow-rumped Warbler,316,10.83560186,1.034853039,12.38,1.092720645,short,0.712,foliage glean,insectivore
6110,Purple Martin,553,9.453097221,0.975574124,49,1.69019608,neotrop,0.707,aerial foraging,insectivore
6120,Cliff Swallow,614,33.78219094,1.528687812,22,1.342422681,neotrop,0.705,aerial foraging,insectivore
6670,Black-throated Green Warbler,230,4.713536713,0.673346894,9,0.954242509,neotrop,0.704,foliage glean,insectivore
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
