sort v2019,Clements v2019 change,text for website v2019,category,page 6.0,English name,scientific name,range,order,family,extinct,extinct year,sort v2018,page 6.0
138,,,species,5,Taczanowski's Tinamou,Nothoprocta taczanowskii,Andes of s-central Peru (Junín to Puno),Tinamiformes,Tinamidae (Tinamous),,,138,5
139,,,species,5,Ornate Tinamou,Nothoprocta ornata,,Tinamiformes,Tinamidae (Tinamous),,,139,5
140,,,subspecies,5,,Nothoprocta ornata branickii,Puna of central Peru (Ancash to Apurímac),Tinamiformes,Tinamidae (Tinamous),,,140,5
141,,,subspecies,5,,Nothoprocta ornata ornata,Andes of se Peru to Bolivia and extreme n Chile,Tinamiformes,Tinamidae (Tinamous),,,141,5
142,,,subspecies,5,,Nothoprocta ornata rostrata,Andes of nw Argentina (Jujuy and La Rioja),Tinamiformes,Tinamidae (Tinamous),,,142,5
143,,,species,5,Chilean Tinamou,Nothoprocta perdicaria,,Tinamiformes,Tinamidae (Tinamous),,,143,5
144,,,subspecies,5,,Nothoprocta perdicaria perdicaria,Semiarid grasslands of n-central Chile (Atacama to Ñuble),Tinamiformes,Tinamidae (Tinamous),,,144,5
145,,,subspecies,5,,Nothoprocta perdicaria sanborni,south central Chile (Maule to Llanquihue),Tinamiformes,Tinamidae (Tinamous),,,145,5
146,,,species,5,Brushland Tinamou,Nothoprocta cinerascens,,Tinamiformes,Tinamidae (Tinamous),,,146,5
147,,,subspecies,5,,Nothoprocta cinerascens cinerascens,SE Bolivia to nw Paraguay and central Argentina,Tinamiformes,Tinamidae (Tinamous),,,147,5
148,,,subspecies,5,,Nothoprocta cinerascens parvimaculata,Arid nw Argentina (e La Rioja),Tinamiformes,Tinamidae (Tinamous),,,148,5
149,,,species,5,Andean Tinamou,Nothoprocta pentlandii,,Tinamiformes,Tinamidae (Tinamous),,,149,5
150,,,subspecies,5,,Nothoprocta pentlandii ambigua,Andes of s Ecuador and nw Peru,Tinamiformes,Tinamidae (Tinamous),,,150,5
151,,,subspecies,5,,Nothoprocta pentlandii oustaleti,W slope of Andes of central and s Peru,Tinamiformes,Tinamidae (Tinamous),,,151,5
152,,,subspecies,5,,Nothoprocta pentlandii niethammeri,Coastal central Peru,Tinamiformes,Tinamidae (Tinamous),,,152,5
153,,,subspecies,5,,Nothoprocta pentlandii fulvescens,Andes of se Peru,Tinamiformes,Tinamidae (Tinamous),,,153,5
154,,,subspecies,5,,Nothoprocta pentlandii pentlandii,Andes of w Bolivia to nw Argentina and extreme n Chile,Tinamiformes,Tinamidae (Tinamous),,,154,5
155,,,subspecies,5,,Nothoprocta pentlandii doeringi,Mountains of central Argentina (San Luis and Córdoba),Tinamiformes,Tinamidae (Tinamous),,,155,5
156,,,subspecies,5,,Nothoprocta pentlandii mendozae,Mountains of w-central Argentina (n Neuquén and Mendoza),Tinamiformes,Tinamidae (Tinamous),,,156,5
157,,,species,5,Curve-billed Tinamou,Nothoprocta curvirostris,,Tinamiformes,Tinamidae (Tinamous),,,157,5
158,,,subspecies,5,,Nothoprocta curvirostris curvirostris,Andes of central Ecuador to n Peru (Cordillera del Condor),Tinamiformes,Tinamidae (Tinamous),,,158,5
159,,,subspecies,5,,Nothoprocta curvirostris peruviana,Andes of n and central Peru (south to Huánuco),Tinamiformes,Tinamidae (Tinamous),,,159,5
161,,,species,5,White-bellied Nothura,Nothura boraquira,NE Brazil to e Bolivia and ne Paraguay,Tinamiformes,Tinamidae (Tinamous),,,161,5
162,,,species,6,Lesser Nothura,Nothura minor,semiarid grasslands and scrub of interior southeastern Brazil and east central Paraguay,Tinamiformes,Tinamidae (Tinamous),,,162,6
163,,,species,6,Darwin's Nothura,Nothura darwinii,,Tinamiformes,Tinamidae (Tinamous),,,163,6
164,,,subspecies,6,,Nothura darwinii peruviana,Highlands of s Peru (Urubamba Valley of Cuzco),Tinamiformes,Tinamidae (Tinamous),,,164,6
165,,,subspecies,6,,Nothura darwinii agassizii,Altiplano of extreme se Peru and w Bolivia,Tinamiformes,Tinamidae (Tinamous),,,165,6
166,,,subspecies,6,,Nothura darwinii boliviana,Highlands of w Bolivia (Cochabamba to Tarija),Tinamiformes,Tinamidae (Tinamous),,,166,6
167,,,subspecies,6,,Nothura darwinii salvadorii,Semiarid subtropical w Argentina,Tinamiformes,Tinamidae (Tinamous),,,167,6
168,,,subspecies,6,,Nothura darwinii darwinii,Patagonian steppes of s-central Argentina,Tinamiformes,Tinamidae (Tinamous),,,168,6
169,lump,"In accord with AOS-SACC (Proposal 782), Chaco Nothura Nothura chacoensis is lumped with Spotted Nothura Nothura maculosa, following Hayes et al. (2018). As chacoensis is not field identifiable, other than by range, we do not recognize it as a group. Insert chacoensis following subspecies major.",species,6,Spotted Nothura,Nothura maculosa,,Tinamiformes,Tinamidae (Tinamous),,,169,6
170,,,subspecies,6,,Nothura maculosa cearensis,NE Brazil (s Ceará),Tinamiformes,Tinamidae (Tinamous),,,170,6
171,,,subspecies,6,,Nothura maculosa major,"Interior e-c Brazil (Minas Gerais, Goiás and adjacent Bahia)",Tinamiformes,Tinamidae (Tinamous),,,171,6
172,,,subspecies,6,,Nothura maculosa chacoensis,chaco of northwestern Paraguay,Tinamiformes,Tinamidae (Tinamous),,,178,6
173,,,subspecies,6,,Nothura maculosa paludivaga,Central Paraguay and n-central Argentina,Tinamiformes,Tinamidae (Tinamous),,,172,6
174,,,subspecies,6,,Nothura maculosa maculosa,"SE Brazil to e Paraguay, Uruguay and ne Argentina",Tinamiformes,Tinamidae (Tinamous),,,173,6
175,,,subspecies,6,,Nothura maculosa pallida,Moist chaco grasslands of nw Argentina,Tinamiformes,Tinamidae (Tinamous),,,174,6
176,,,subspecies,6,,Nothura maculosa annectens,Moist grasslands of e Argentina,Tinamiformes,Tinamidae (Tinamous),,,175,6
177,,,subspecies,6,,Nothura maculosa submontana,Andean foothills of sw Argentina (Neuquén to Chubut),Tinamiformes,Tinamidae (Tinamous),,,176,6
178,,,subspecies,6,,Nothura maculosa nigroguttata,Plains of s-central Argentina (Río Negro to se Neuquén),Tinamiformes,Tinamidae (Tinamous),,,177,6
179,,,species,6,Dwarf Tinamou,Taoniscus nanus,Interior se Brazil and ne Argentina (Misiones),Tinamiformes,Tinamidae (Tinamous),,,179,6
180,,,species,6,Elegant Crested-Tinamou,Eudromia elegans,,Tinamiformes,Tinamidae (Tinamous),,,180,6
181,,,subspecies,6,,Eudromia elegans intermedia,Andes of nw Argentina (Salta to Catamarca),Tinamiformes,Tinamidae (Tinamous),,,181,6
182,,,subspecies,6,,Eudromia elegans magnistriata,Andes of nw Argentina (Tucumán and n Córdoba),Tinamiformes,Tinamidae (Tinamous),,,182,6
183,,,subspecies,6,,Eudromia elegans riojana,Andes of nw Argentina (La Rioja and San Juan),Tinamiformes,Tinamidae (Tinamous),,,183,6
184,,,subspecies,6,,Eudromia elegans albida,Dry savanna of w Argentina (San Juan),Tinamiformes,Tinamidae (Tinamous),,,184,6
185,,,subspecies,6,,Eudromia elegans wetmorei,Andean foothills in w Argentina (n-central Mendoza),Tinamiformes,Tinamidae (Tinamous),,,185,6
186,,,subspecies,6,,Eudromia elegans devia,SW Argentina at base of Andes (Neuquén),Tinamiformes,Tinamidae (Tinamous),,,186,6
187,,,subspecies,6,,Eudromia elegans numida,Dry grasslands of central Argentina,Tinamiformes,Tinamidae (Tinamous),,,187,6
188,,,subspecies,6,,Eudromia elegans multiguttata,Dry grasslands of e-central Argentina,Tinamiformes,Tinamidae (Tinamous),,,188,6
