"focalAOU","Focal","FocalSciName","CompAOU","Competitor","CompSciName","Family","mainCompetitor"
4440,"Eastern Kingbird","Tyrannus tyrannus",4430,"Scissor-tailed Flycatcher","Tyrannus forficatus","Tyrannidae",0
4440,"Eastern Kingbird","Tyrannus tyrannus",4450,"Gray Kingbird","Tyrannus dominicensis","Tyrannidae",0
4440,"Eastern Kingbird","Tyrannus tyrannus",4461,"Couch's Kingbird","Tyrannus couchii","Tyrannidae",0
4440,"Eastern Kingbird","Tyrannus tyrannus",4470,"Western Kingbird","Tyrannus verticalis","Tyrannidae",0
4440,"Eastern Kingbird","Tyrannus tyrannus",4480,"Cassin's Kingbird","Tyrannus vociferans","Tyrannidae",0
4440,"Eastern Kingbird","Tyrannus tyrannus",4490,"Great Kiskadee","Pitangus sulphuratus","Tyrannidae",0
4440,"Eastern Kingbird","Tyrannus tyrannus",4530,"Brown-crested Flycatcher","Myiarchus tyrannulus","Tyrannidae",0
4440,"Eastern Kingbird","Tyrannus tyrannus",4540,"Ash-throated Flycatcher","Myiarchus cinerascens","Tyrannidae",0
4440,"Eastern Kingbird","Tyrannus tyrannus",4590,"Olive-sided Flycatcher","Contopus cooperi","Tyrannidae",0
4470,"Western Kingbird","Tyrannus verticalis",4570,"Say's Phoebe","Sayornis saya","Tyrannidae",1
4470,"Western Kingbird","Tyrannus verticalis",4411,"Rose-throated Becard","Pachyramphus aglaiae","Tyrannidae",0
4470,"Western Kingbird","Tyrannus verticalis",4430,"Scissor-tailed Flycatcher","Tyrannus forficatus","Tyrannidae",0
4470,"Western Kingbird","Tyrannus verticalis",4440,"Eastern Kingbird","Tyrannus tyrannus","Tyrannidae",0
4470,"Western Kingbird","Tyrannus verticalis",4451,"Thick-billed Kingbird","Tyrannus crassirostris","Tyrannidae",0
4470,"Western Kingbird","Tyrannus verticalis",4460,"Tropical Kingbird","Tyrannus melancholicus","Tyrannidae",0
4470,"Western Kingbird","Tyrannus verticalis",4461,"Couch's Kingbird","Tyrannus couchii","Tyrannidae",0
4470,"Western Kingbird","Tyrannus verticalis",4480,"Cassin's Kingbird","Tyrannus vociferans","Tyrannidae",0
4470,"Western Kingbird","Tyrannus verticalis",4490,"Great Kiskadee","Pitangus sulphuratus","Tyrannidae",0
4470,"Western Kingbird","Tyrannus verticalis",4510,"Sulphur-bellied Flycatcher","Myiodynastes luteiventris","Tyrannidae",0
4470,"Western Kingbird","Tyrannus verticalis",4520,"Great Crested Flycatcher","Myiarchus crinitus","Tyrannidae",0
4470,"Western Kingbird","Tyrannus verticalis",4530,"Brown-crested Flycatcher","Myiarchus tyrannulus","Tyrannidae",0
