AOU,CommonName,Competitor
4120,Northern Flicker,Red-breasted Sapsucker
4120,Northern Flicker,Ladder-backed Woodpecker
4120,Northern Flicker,Nuttall's Woodpecker
4120,Northern Flicker,Downy Woodpecker
4120,Northern Flicker,Hairy Woodpecker
4120,Northern Flicker,Arizona Woodpecker
4120,Northern Flicker,Red-cockaded Woodpecker
4120,Northern Flicker,White-headed Woodpecker
4120,Northern Flicker,American Three-toed Woodpecker
4120,Northern Flicker,Black-backed Woodpecker
4120,Northern Flicker,Gilded Flicker
4120,Northern Flicker,Pileated Woodpecker
4430,Scissor-tailed Flycatcher,Northern Beardless-Tyrannulet
4430,Scissor-tailed Flycatcher,Olive-sided Flycatcher
4430,Scissor-tailed Flycatcher,Western Wood-Pewee
4430,Scissor-tailed Flycatcher,Eastern Wood-Pewee
4430,Scissor-tailed Flycatcher,Acadian Flycatcher
4430,Scissor-tailed Flycatcher,Alder Flycatcher
4430,Scissor-tailed Flycatcher,Willow Flycatcher
4430,Scissor-tailed Flycatcher,Least Flycatcher
4430,Scissor-tailed Flycatcher,Gray Flycatcher
4430,Scissor-tailed Flycatcher,Cordilleran Flycatcher
4430,Scissor-tailed Flycatcher,Buff-breasted Flycatcher
4430,Scissor-tailed Flycatcher,Black Phoebe
4430,Scissor-tailed Flycatcher,Eastern Phoebe
4430,Scissor-tailed Flycatcher,Say's Phoebe
4430,Scissor-tailed Flycatcher,Vermilion Flycatcher
4430,Scissor-tailed Flycatcher,Dusky-capped Flycatcher
4430,Scissor-tailed Flycatcher,Ash-throated Flycatcher
4430,Scissor-tailed Flycatcher,Great Crested Flycatcher
4430,Scissor-tailed Flycatcher,Brown-crested Flycatcher
4430,Scissor-tailed Flycatcher,Great Kiskadee
4430,Scissor-tailed Flycatcher,Tropical Kingbird
4430,Scissor-tailed Flycatcher,Couch's Kingbird
4430,Scissor-tailed Flycatcher,Cassin's Kingbird
4430,Scissor-tailed Flycatcher,Western Kingbird
4430,Scissor-tailed Flycatcher,Eastern Kingbird
4440,Eastern Kingbird,Northern Beardless-Tyrannulet
4440,Eastern Kingbird,Olive-sided Flycatcher
4440,Eastern Kingbird,Western Wood-Pewee
4440,Eastern Kingbird,Eastern Wood-Pewee
4440,Eastern Kingbird,Yellow-bellied Flycatcher
4440,Eastern Kingbird,Acadian Flycatcher
4440,Eastern Kingbird,Alder Flycatcher
4440,Eastern Kingbird,Willow Flycatcher
4440,Eastern Kingbird,Least Flycatcher
4440,Eastern Kingbird,Hammond's Flycatcher
4440,Eastern Kingbird,Gray Flycatcher
4440,Eastern Kingbird,Dusky Flycatcher
4440,Eastern Kingbird,Pacific-slope Flycatcher
4440,Eastern Kingbird,Cordilleran Flycatcher
4440,Eastern Kingbird,Black Phoebe
4440,Eastern Kingbird,Eastern Phoebe
4440,Eastern Kingbird,Say's Phoebe
4440,Eastern Kingbird,Vermilion Flycatcher
4440,Eastern Kingbird,Ash-throated Flycatcher
4440,Eastern Kingbird,Great Crested Flycatcher
4440,Eastern Kingbird,Brown-crested Flycatcher
4440,Eastern Kingbird,Great Kiskadee
4440,Eastern Kingbird,Couch's Kingbird
4440,Eastern Kingbird,Cassin's Kingbird
4440,Eastern Kingbird,Western Kingbird
4440,Eastern Kingbird,Gray Kingbird
4440,Eastern Kingbird,Scissor-tailed Flycatcher
4470,Western Kingbird,Northern Beardless-Tyrannulet
4470,Western Kingbird,Olive-sided Flycatcher
4470,Western Kingbird,Greater Pewee
4470,Western Kingbird,Western Wood-Pewee
4470,Western Kingbird,Eastern Wood-Pewee
4470,Western Kingbird,Yellow-bellied Flycatcher
4470,Western Kingbird,Acadian Flycatcher
4470,Western Kingbird,Alder Flycatcher
4470,Western Kingbird,Willow Flycatcher
4470,Western Kingbird,Least Flycatcher
4470,Western Kingbird,Hammond's Flycatcher
4470,Western Kingbird,Gray Flycatcher
4470,Western Kingbird,Dusky Flycatcher
4470,Western Kingbird,Pacific-slope Flycatcher
4470,Western Kingbird,Cordilleran Flycatcher
4470,Western Kingbird,Buff-breasted Flycatcher
4470,Western Kingbird,Black Phoebe
4470,Western Kingbird,Eastern Phoebe
4470,Western Kingbird,Say's Phoebe
4470,Western Kingbird,Vermilion Flycatcher
4470,Western Kingbird,Dusky-capped Flycatcher
4470,Western Kingbird,Ash-throated Flycatcher
4470,Western Kingbird,Great Crested Flycatcher
4470,Western Kingbird,Brown-crested Flycatcher
4470,Western Kingbird,Great Kiskadee
4470,Western Kingbird,Sulphur-bellied Flycatcher
4470,Western Kingbird,Tropical Kingbird
4470,Western Kingbird,Couch's Kingbird
4470,Western Kingbird,Cassin's Kingbird
4470,Western Kingbird,Thick-billed Kingbird
4470,Western Kingbird,Eastern Kingbird
4470,Western Kingbird,Scissor-tailed Flycatcher
4470,Western Kingbird,Rose-throated Becard
4520,Great Crested Flycatcher,Olive-sided Flycatcher
4520,Great Crested Flycatcher,Western Wood-Pewee
4520,Great Crested Flycatcher,Eastern Wood-Pewee
4520,Great Crested Flycatcher,Yellow-bellied Flycatcher
4520,Great Crested Flycatcher,Acadian Flycatcher
4520,Great Crested Flycatcher,Alder Flycatcher
4520,Great Crested Flycatcher,Willow Flycatcher
4520,Great Crested Flycatcher,Least Flycatcher
4520,Great Crested Flycatcher,Hammond's Flycatcher
4520,Great Crested Flycatcher,Dusky Flycatcher
4520,Great Crested Flycatcher,Cordilleran Flycatcher
4520,Great Crested Flycatcher,Black Phoebe
4520,Great Crested Flycatcher,Eastern Phoebe
4520,Great Crested Flycatcher,Say's Phoebe
4520,Great Crested Flycatcher,Vermilion Flycatcher
4520,Great Crested Flycatcher,Ash-throated Flycatcher
4520,Great Crested Flycatcher,Brown-crested Flycatcher
4520,Great Crested Flycatcher,Great Kiskadee
4520,Great Crested Flycatcher,Couch's Kingbird
4520,Great Crested Flycatcher,Cassin's Kingbird
4520,Great Crested Flycatcher,Western Kingbird
4520,Great Crested Flycatcher,Eastern Kingbird
4520,Great Crested Flycatcher,Gray Kingbird
4520,Great Crested Flycatcher,Scissor-tailed Flycatcher
4560,Eastern Phoebe,Northern Beardless-Tyrannulet
4560,Eastern Phoebe,Olive-sided Flycatcher
4560,Eastern Phoebe,Western Wood-Pewee
4560,Eastern Phoebe,Eastern Wood-Pewee
4560,Eastern Phoebe,Yellow-bellied Flycatcher
4560,Eastern Phoebe,Acadian Flycatcher
4560,Eastern Phoebe,Alder Flycatcher
4560,Eastern Phoebe,Willow Flycatcher
4560,Eastern Phoebe,Least Flycatcher
4560,Eastern Phoebe,Hammond's Flycatcher
4560,Eastern Phoebe,Cordilleran Flycatcher
4560,Eastern Phoebe,Black Phoebe
4560,Eastern Phoebe,Say's Phoebe
4560,Eastern Phoebe,Vermilion Flycatcher
4560,Eastern Phoebe,Ash-throated Flycatcher
4560,Eastern Phoebe,Great Crested Flycatcher
4560,Eastern Phoebe,Brown-crested Flycatcher
4560,Eastern Phoebe,Great Kiskadee
4560,Eastern Phoebe,Tropical Kingbird
4560,Eastern Phoebe,Couch's Kingbird
4560,Eastern Phoebe,Cassin's Kingbird
4560,Eastern Phoebe,Western Kingbird
4560,Eastern Phoebe,Eastern Kingbird
4560,Eastern Phoebe,Scissor-tailed Flycatcher
4610,Eastern Wood-Pewee,Olive-sided Flycatcher
4610,Eastern Wood-Pewee,Western Wood-Pewee
4610,Eastern Wood-Pewee,Yellow-bellied Flycatcher
4610,Eastern Wood-Pewee,Acadian Flycatcher
4610,Eastern Wood-Pewee,Alder Flycatcher
4610,Eastern Wood-Pewee,Willow Flycatcher
4610,Eastern Wood-Pewee,Least Flycatcher
4610,Eastern Wood-Pewee,Black Phoebe
4610,Eastern Wood-Pewee,Eastern Phoebe
4610,Eastern Wood-Pewee,Say's Phoebe
4610,Eastern Wood-Pewee,Vermilion Flycatcher
4610,Eastern Wood-Pewee,Ash-throated Flycatcher
4610,Eastern Wood-Pewee,Great Crested Flycatcher
4610,Eastern Wood-Pewee,Brown-crested Flycatcher
4610,Eastern Wood-Pewee,Great Kiskadee
4610,Eastern Wood-Pewee,Couch's Kingbird
4610,Eastern Wood-Pewee,Western Kingbird
4610,Eastern Wood-Pewee,Eastern Kingbird
4610,Eastern Wood-Pewee,Gray Kingbird
4610,Eastern Wood-Pewee,Scissor-tailed Flycatcher
4620,Western Wood-Pewee,Northern Beardless-Tyrannulet
4620,Western Wood-Pewee,Olive-sided Flycatcher
4620,Western Wood-Pewee,Greater Pewee
4620,Western Wood-Pewee,Eastern Wood-Pewee
4620,Western Wood-Pewee,Yellow-bellied Flycatcher
4620,Western Wood-Pewee,Alder Flycatcher
4620,Western Wood-Pewee,Willow Flycatcher
4620,Western Wood-Pewee,Least Flycatcher
4620,Western Wood-Pewee,Hammond's Flycatcher
4620,Western Wood-Pewee,Gray Flycatcher
4620,Western Wood-Pewee,Dusky Flycatcher
4620,Western Wood-Pewee,Pacific-slope Flycatcher
4620,Western Wood-Pewee,Cordilleran Flycatcher
4620,Western Wood-Pewee,Buff-breasted Flycatcher
4620,Western Wood-Pewee,Black Phoebe
4620,Western Wood-Pewee,Eastern Phoebe
4620,Western Wood-Pewee,Say's Phoebe
4620,Western Wood-Pewee,Vermilion Flycatcher
4620,Western Wood-Pewee,Dusky-capped Flycatcher
4620,Western Wood-Pewee,Ash-throated Flycatcher
4620,Western Wood-Pewee,Great Crested Flycatcher
4620,Western Wood-Pewee,Brown-crested Flycatcher
4620,Western Wood-Pewee,Sulphur-bellied Flycatcher
4620,Western Wood-Pewee,Tropical Kingbird
4620,Western Wood-Pewee,Cassin's Kingbird
4620,Western Wood-Pewee,Thick-billed Kingbird
4620,Western Wood-Pewee,Western Kingbird
4620,Western Wood-Pewee,Eastern Kingbird
4620,Western Wood-Pewee,Scissor-tailed Flycatcher
4620,Western Wood-Pewee,Rose-throated Becard
4641,Pacific-slope Flycatcher,Olive-sided Flycatcher
4641,Pacific-slope Flycatcher,Western Wood-Pewee
4641,Pacific-slope Flycatcher,Yellow-bellied Flycatcher
4641,Pacific-slope Flycatcher,Alder Flycatcher
4641,Pacific-slope Flycatcher,Willow Flycatcher
4641,Pacific-slope Flycatcher,Least Flycatcher
4641,Pacific-slope Flycatcher,Hammond's Flycatcher
4641,Pacific-slope Flycatcher,Gray Flycatcher
4641,Pacific-slope Flycatcher,Dusky Flycatcher
4641,Pacific-slope Flycatcher,Cordilleran Flycatcher
4641,Pacific-slope Flycatcher,Black Phoebe
4641,Pacific-slope Flycatcher,Say's Phoebe
4641,Pacific-slope Flycatcher,Vermilion Flycatcher
4641,Pacific-slope Flycatcher,Ash-throated Flycatcher
4641,Pacific-slope Flycatcher,Brown-crested Flycatcher
4641,Pacific-slope Flycatcher,Cassin's Kingbird
4641,Pacific-slope Flycatcher,Western Kingbird
4641,Pacific-slope Flycatcher,Eastern Kingbird
4670,Least Flycatcher,Olive-sided Flycatcher
4670,Least Flycatcher,Western Wood-Pewee
4670,Least Flycatcher,Eastern Wood-Pewee
4670,Least Flycatcher,Yellow-bellied Flycatcher
4670,Least Flycatcher,Acadian Flycatcher
4670,Least Flycatcher,Alder Flycatcher
4670,Least Flycatcher,Willow Flycatcher
4670,Least Flycatcher,Hammond's Flycatcher
4670,Least Flycatcher,Dusky Flycatcher
4670,Least Flycatcher,Pacific-slope Flycatcher
4670,Least Flycatcher,Cordilleran Flycatcher
4670,Least Flycatcher,Eastern Phoebe
4670,Least Flycatcher,Say's Phoebe
4670,Least Flycatcher,Dusky-capped Flycatcher
4670,Least Flycatcher,Ash-throated Flycatcher
4670,Least Flycatcher,Great Crested Flycatcher
4670,Least Flycatcher,Cassin's Kingbird
4670,Least Flycatcher,Western Kingbird
4670,Least Flycatcher,Eastern Kingbird
4670,Least Flycatcher,Scissor-tailed Flycatcher
4750,Black-billed Magpie,Gray Jay
4750,Black-billed Magpie,Steller's Jay
4750,Black-billed Magpie,Blue Jay
4750,Black-billed Magpie,Western Scrub-Jay
4750,Black-billed Magpie,Mexican Jay
4750,Black-billed Magpie,Pinyon Jay
4750,Black-billed Magpie,Clark's Nutcracker
4750,Black-billed Magpie,Yellow-billed Magpie
4750,Black-billed Magpie,American Crow
4750,Black-billed Magpie,Common Raven
4770,Blue Jay,Gray Jay
4770,Blue Jay,Florida Scrub-Jay
4770,Blue Jay,Western Scrub-Jay
4770,Blue Jay,Pinyon Jay
4770,Blue Jay,Clark's Nutcracker
4770,Blue Jay,Black-billed Magpie
4770,Blue Jay,American Crow
4770,Blue Jay,Fish Crow
4770,Blue Jay,Chihuahuan Raven
4770,Blue Jay,Common Raven
4860,Common Raven,Gray Jay
4860,Common Raven,Steller's Jay
4860,Common Raven,Blue Jay
4860,Common Raven,Western Scrub-Jay
4860,Common Raven,Mexican Jay
4860,Common Raven,Pinyon Jay
4860,Common Raven,Clark's Nutcracker
4860,Common Raven,Black-billed Magpie
4860,Common Raven,Yellow-billed Magpie
4860,Common Raven,American Crow
4860,Common Raven,Northwestern Crow
4860,Common Raven,Fish Crow
4860,Common Raven,Chihuahuan Raven
4880,American Crow,Gray Jay
4880,American Crow,Steller's Jay
4880,American Crow,Blue Jay
4880,American Crow,Florida Scrub-Jay
4880,American Crow,Western Scrub-Jay
4880,American Crow,Mexican Jay
4880,American Crow,Pinyon Jay
4880,American Crow,Clark's Nutcracker
4880,American Crow,Black-billed Magpie
4880,American Crow,Yellow-billed Magpie
4880,American Crow,Fish Crow
4880,American Crow,Chihuahuan Raven
4880,American Crow,Common Raven
4900,Fish Crow,Blue Jay
4900,Fish Crow,Florida Scrub-Jay
4900,Fish Crow,American Crow
4900,Fish Crow,Common Raven
4940,Bobolink,Red-winged Blackbird
4940,Bobolink,Eastern Meadowlark
4940,Bobolink,Western Meadowlark
4940,Bobolink,Eastern Meadowlark
4940,Bobolink,Yellow-headed Blackbird
4940,Bobolink,Rusty Blackbird
4940,Bobolink,Brewer's Blackbird
4940,Bobolink,Common Grackle
4940,Bobolink,Boat-tailed Grackle
4940,Bobolink,Brown-headed Cowbird
4940,Bobolink,Orchard Oriole
4940,Bobolink,Bullock's Oriole
4940,Bobolink,Baltimore Oriole
4940,Bobolink,Scott's Oriole
4950,Brown-headed Cowbird,Bobolink
4950,Brown-headed Cowbird,Red-winged Blackbird
4950,Brown-headed Cowbird,Tricolored Blackbird
4950,Brown-headed Cowbird,Eastern Meadowlark
4950,Brown-headed Cowbird,Western Meadowlark
4950,Brown-headed Cowbird,Yellow-headed Blackbird
4950,Brown-headed Cowbird,Rusty Blackbird
4950,Brown-headed Cowbird,Brewer's Blackbird
4950,Brown-headed Cowbird,Common Grackle
4950,Brown-headed Cowbird,Boat-tailed Grackle
4950,Brown-headed Cowbird,Great-tailed Grackle
4950,Brown-headed Cowbird,Great-tailed Grack
4950,Brown-headed Cowbird,Shiny Cowbird
4950,Brown-headed Cowbird,Bronzed Cowbird
4950,Brown-headed Cowbird,Orchard Oriole
4950,Brown-headed Cowbird,Hooded Oriole
4950,Brown-headed Cowbird,Bullock's Oriole
4950,Brown-headed Cowbird,Spot-breasted Oriole
4950,Brown-headed Cowbird,Altamira Oriole
4950,Brown-headed Cowbird,Baltimore Oriole
4950,Brown-headed Cowbird,Scott's Oriole
4960,Bronzed Cowbird,Red-winged Blackbird
4960,Bronzed Cowbird,Eastern Meadowlark
4960,Bronzed Cowbird,Western Meadowlark
4960,Bronzed Cowbird,Eastern Meadowlark
4960,Bronzed Cowbird,Yellow-headed Blackbird
4960,Bronzed Cowbird,Brewer's Blackbird
4960,Bronzed Cowbird,Common Grackle
4960,Bronzed Cowbird,Great-tailed Grackle
4960,Bronzed Cowbird,Brown-headed Cowbird
4960,Bronzed Cowbird,Orchard Oriole
4960,Bronzed Cowbird,Hooded Oriole
4960,Bronzed Cowbird,Bullock's Oriole
4960,Bronzed Cowbird,Altamira Oriole
4960,Bronzed Cowbird,Baltimore Oriole
4960,Bronzed Cowbird,Scott's Oriole
4980,Red-winged Blackbird,Bobolink
4980,Red-winged Blackbird,Tricolored Blackbird
4980,Red-winged Blackbird,Eastern Meadowlark
4980,Red-winged Blackbird,Western Meadowlark
4980,Red-winged Blackbird,Yellow-headed Blackbird
4980,Red-winged Blackbird,Rusty Blackbird
4980,Red-winged Blackbird,Brewer's Blackbird
4980,Red-winged Blackbird,Common Grackle
4980,Red-winged Blackbird,Boat-tailed Grackle
4980,Red-winged Blackbird,Great-tailed Grackle
4980,Red-winged Blackbird,Shiny Cowbird
4980,Red-winged Blackbird,Bronzed Cowbird
4980,Red-winged Blackbird,Brown-headed Cowbird
4980,Red-winged Blackbird,Orchard Oriole
4980,Red-winged Blackbird,Hooded Oriole
4980,Red-winged Blackbird,Bullock's Oriole
4980,Red-winged Blackbird,Spot-breasted Oriole
4980,Red-winged Blackbird,Altamira Oriole
4980,Red-winged Blackbird,Baltimore Oriole
4980,Red-winged Blackbird,Scott's Oriole
5010,Eastern Meadowlark,Bobolink
5010,Eastern Meadowlark,Red-winged Blackbird
5010,Eastern Meadowlark,Western Meadowlark
5010,Eastern Meadowlark,Yellow-headed Blackbird
5010,Eastern Meadowlark,Rusty Blackbird
5010,Eastern Meadowlark,Brewer's Blackbird
5010,Eastern Meadowlark,Common Grackle
5010,Eastern Meadowlark,Boat-tailed Grackle
5010,Eastern Meadowlark,Great-tailed Grackle
5010,Eastern Meadowlark,Shiny Cowbird
5010,Eastern Meadowlark,Bronzed Cowbird
5010,Eastern Meadowlark,Brown-headed Cowbird
5010,Eastern Meadowlark,Orchard Oriole
5010,Eastern Meadowlark,Hooded Oriole
5010,Eastern Meadowlark,Bullock's Oriole
5010,Eastern Meadowlark,Spot-breasted Oriole
5010,Eastern Meadowlark,Altamira Oriole
5010,Eastern Meadowlark,Baltimore Oriole
5010,Eastern Meadowlark,Scott's Oriole
5011,Western Meadowlark,Bobolink
5011,Western Meadowlark,Red-winged Blackbird
5011,Western Meadowlark,Tricolored Blackbird
5011,Western Meadowlark,Eastern Meadowlark
5011,Western Meadowlark,Yellow-headed Blackbird
5011,Western Meadowlark,Rusty Blackbird
5011,Western Meadowlark,Brewer's Blackbird
5011,Western Meadowlark,Common Grackle
5011,Western Meadowlark,Great-tailed Grackle
5011,Western Meadowlark,Bronzed Cowbird
5011,Western Meadowlark,Brown-headed Cowbird
5011,Western Meadowlark,Orchard Oriole
5011,Western Meadowlark,Hooded Oriole
5011,Western Meadowlark,Bullock's Oriole
5011,Western Meadowlark,Altamira Oriole
5011,Western Meadowlark,Baltimore Oriole
5011,Western Meadowlark,Scott's Oriole
5060,Orchard Oriole,Bobolink
5060,Orchard Oriole,Red-winged Blackbird
5060,Orchard Oriole,Eastern Meadowlark
5060,Orchard Oriole,Western Meadowlark
5060,Orchard Oriole,Yellow-headed Blackbird
5060,Orchard Oriole,Rusty Blackbird
5060,Orchard Oriole,Brewer's Blackbird
5060,Orchard Oriole,Common Grackle
5060,Orchard Oriole,Boat-tailed Grackle
5060,Orchard Oriole,Great-tailed Grackle
5060,Orchard Oriole,Bronzed Cowbird
5060,Orchard Oriole,Brown-headed Cowbird
5060,Orchard Oriole,Hooded Oriole
5060,Orchard Oriole,Bullock's Oriole
5060,Orchard Oriole,Altamira Oriole
5060,Orchard Oriole,Baltimore Oriole
5060,Orchard Oriole,Scott's Oriole
5070,Baltimore Oriole,Bobolink
5070,Baltimore Oriole,Red-winged Blackbird
5070,Baltimore Oriole,Tricolored Blackbird
5070,Baltimore Oriole,Eastern Meadowlark
5070,Baltimore Oriole,Western Meadowlark
5070,Baltimore Oriole,Yellow-headed Blackbird
5070,Baltimore Oriole,Rusty Blackbird
5070,Baltimore Oriole,Brewer's Blackbird
5070,Baltimore Oriole,Common Grackle
5070,Baltimore Oriole,Boat-tailed Grackle
5070,Baltimore Oriole,Great-tailed Grackle
5070,Baltimore Oriole,Shiny Cowbird
5070,Baltimore Oriole,Bronzed Cowbird
5070,Baltimore Oriole,Brown-headed Cowbird
5070,Baltimore Oriole,Orchard Oriole
5070,Baltimore Oriole,Hooded Oriole
5070,Baltimore Oriole,Bullock's Oriole
5070,Baltimore Oriole,Spot-breasted Oriole
5070,Baltimore Oriole,Altamira Oriole
5070,Baltimore Oriole,Scott's Oriole
5080,Bullock's Oriole,Bobolink
5080,Bullock's Oriole,Red-winged Blackbird
5080,Bullock's Oriole,Tricolored Blackbird
5080,Bullock's Oriole,Eastern Meadowlark
5080,Bullock's Oriole,Western Meadowlark
5080,Bullock's Oriole,Yellow-headed Blackbird
5080,Bullock's Oriole,Brewer's Blackbird
5080,Bullock's Oriole,Common Grackle
5080,Bullock's Oriole,Great-tailed Grackle
5080,Bullock's Oriole,Bronzed Cowbird
5080,Bullock's Oriole,Brown-headed Cowbird
5080,Bullock's Oriole,Orchard Oriole
5080,Bullock's Oriole,Hooded Oriole
5080,Bullock's Oriole,Altamira Oriole
5080,Bullock's Oriole,Baltimore Oriole
5080,Bullock's Oriole,Scott's Oriole
5100,Brewer's Blackbird,Bobolink
5100,Brewer's Blackbird,Red-winged Blackbird
5100,Brewer's Blackbird,Tricolored Blackbird
5100,Brewer's Blackbird,Eastern Meadowlark
5100,Brewer's Blackbird,Western Meadowlark
5100,Brewer's Blackbird,Yellow-headed Blackbird
5100,Brewer's Blackbird,Rusty Blackbird
5100,Brewer's Blackbird,Common Grackle
5100,Brewer's Blackbird,Boat-tailed Grackle
5100,Brewer's Blackbird,Great-tailed Grackle
5100,Brewer's Blackbird,Shiny Cowbird
5100,Brewer's Blackbird,Bronzed Cowbird
5100,Brewer's Blackbird,Brown-headed Cowbird
5100,Brewer's Blackbird,Orchard Oriole
5100,Brewer's Blackbird,Hooded Oriole
5100,Brewer's Blackbird,Bullock's Oriole
5100,Brewer's Blackbird,Spot-breasted Oriole
5100,Brewer's Blackbird,Altamira Oriole
5100,Brewer's Blackbird,Baltimore Oriole
5100,Brewer's Blackbird,Scott's Oriole
5110,Common Grackle,Bobolink
5110,Common Grackle,Red-winged Blackbird
5110,Common Grackle,Eastern Meadowlark
5110,Common Grackle,Western Meadowlark
5110,Common Grackle,Yellow-headed Blackbird
5110,Common Grackle,Rusty Blackbird
5110,Common Grackle,Brewer's Blackbird
5110,Common Grackle,Boat-tailed Grackle
5110,Common Grackle,Great-tailed Grackle
5110,Common Grackle,Shiny Cowbird
5110,Common Grackle,Bronzed Cowbird
5110,Common Grackle,Brown-headed Cowbird
5110,Common Grackle,Orchard Oriole
5110,Common Grackle,Bullock's Oriole
5110,Common Grackle,Spot-breasted Oriole
5110,Common Grackle,Altamira Oriole
5110,Common Grackle,Baltimore Oriole
5110,Common Grackle,Scott's Oriole
5130,Boat-tailed Grackle,Bobolink
5130,Boat-tailed Grackle,Red-winged Blackbird
5130,Boat-tailed Grackle,Eastern Meadowlark
5130,Boat-tailed Grackle,Rusty Blackbird
5130,Boat-tailed Grackle,Brewer's Blackbird
5130,Boat-tailed Grackle,Common Grackle
5130,Boat-tailed Grackle,Shiny Cowbird
5130,Boat-tailed Grackle,Brown-headed Cowbird
5130,Boat-tailed Grackle,Orchard Oriole
5130,Boat-tailed Grackle,Spot-breasted Oriole
5130,Boat-tailed Grackle,Baltimore Oriole
5170,Purple Finch,Gray-crowned Rosy-Finch
5170,Purple Finch,Pine Grosbeak
5170,Purple Finch,Cassin's Finch
5170,Purple Finch,House Finch
5170,Purple Finch,Red Crossbill
5170,Purple Finch,White-winged Crossbill
5170,Purple Finch,Common Redpoll
5170,Purple Finch,Pine Siskin
5170,Purple Finch,Lesser Goldfinch
5170,Purple Finch,Lawrence's Goldfinch
5170,Purple Finch,American Goldfinch
5170,Purple Finch,Evening Grosbeak
5190,House Finch,Gray-crowned Rosy-Finch
5190,House Finch,Black Rosy-Finch
5190,House Finch,Brown-capped Rosy-Finch
5190,House Finch,Pine Grosbeak
5190,House Finch,Purple Finch
5190,House Finch,Cassin's Finch
5190,House Finch,Red Crossbill
5190,House Finch,White-winged Crossbill
5190,House Finch,Common Redpoll
5190,House Finch,Pine Siskin
5190,House Finch,Lesser Goldfinch
5190,House Finch,Lawrence's Goldfinch
5190,House Finch,American Goldfinch
5190,House Finch,Evening Grosbeak
5280,Common Redpoll,Gray-crowned Rosy-Finch
5280,Common Redpoll,Pine Grosbeak
5280,Common Redpoll,Purple Finch
5280,Common Redpoll,Cassin's Finch
5280,Common Redpoll,House Finch
5280,Common Redpoll,Red Crossbill
5280,Common Redpoll,White-winged Crossbill
5280,Common Redpoll,Pine Siskin
5280,Common Redpoll,American Goldfinch
5280,Common Redpoll,Evening Grosbeak
5290,American Goldfinch,Gray-crowned Rosy-Finch
5290,American Goldfinch,Black Rosy-Finch
5290,American Goldfinch,Brown-capped Rosy-Finch
5290,American Goldfinch,Pine Grosbeak
5290,American Goldfinch,Purple Finch
5290,American Goldfinch,Cassin's Finch
5290,American Goldfinch,House Finch
5290,American Goldfinch,Red Crossbill
5290,American Goldfinch,White-winged Crossbill
5290,American Goldfinch,Common Redpoll
5290,American Goldfinch,Pine Siskin
5290,American Goldfinch,Lesser Goldfinch
5290,American Goldfinch,Lawrence's Goldfinch
5290,American Goldfinch,Evening Grosbeak
5420,Savannah Sparrow,Yellow-faced Grassquit
5420,Savannah Sparrow,Olive Sparrow
5420,Savannah Sparrow,Green-tailed Towhee
5420,Savannah Sparrow,Spotted Towhee
5420,Savannah Sparrow,Eastern Towhee
5420,Savannah Sparrow,Canyon Towhee
5420,Savannah Sparrow,California Towhee
5420,Savannah Sparrow,Abert's Towhee
5420,Savannah Sparrow,Rufous-winged Sparrow
5420,Savannah Sparrow,Cassin's Sparrow
5420,Savannah Sparrow,Bachman's Sparrow
5420,Savannah Sparrow,Botteri's Sparrow
5420,Savannah Sparrow,Rufous-crowned Sparrow
5420,Savannah Sparrow,Five-striped Sparrow
5420,Savannah Sparrow,American Tree Sparrow
5420,Savannah Sparrow,Chipping Sparrow
5420,Savannah Sparrow,Clay-colored Sparrow
5420,Savannah Sparrow,Brewer's Sparrow
5420,Savannah Sparrow,Field Sparrow
5420,Savannah Sparrow,Black-chinned Sparrow
5420,Savannah Sparrow,Vesper Sparrow
5420,Savannah Sparrow,Lark Sparrow
5420,Savannah Sparrow,Black-throated Sparrow
5420,Savannah Sparrow,Sage Sparrow
5420,Savannah Sparrow,Lark Bunting
5420,Savannah Sparrow,Grasshopper Sparrow
5420,Savannah Sparrow,Baird's Sparrow
5420,Savannah Sparrow,Henslow's Sparrow
5420,Savannah Sparrow,Le Conte's Sparrow
5420,Savannah Sparrow,Nelson's Sharp-tailed Sparrow
5420,Savannah Sparrow,Saltmarsh Sharp-tailed Sparrow
5420,Savannah Sparrow,Seaside Sparrow
5420,Savannah Sparrow,Fox Sparrow
5420,Savannah Sparrow,Song Sparrow
5420,Savannah Sparrow,Lincoln's Sparrow
5420,Savannah Sparrow,Swamp Sparrow
5420,Savannah Sparrow,White-throated Sparrow
5420,Savannah Sparrow,Harris's Sparrow
5420,Savannah Sparrow,White-crowned Sparrow
5420,Savannah Sparrow,Golden-crowned Sparrow
5420,Savannah Sparrow,Dark-eyed Junco
5420,Savannah Sparrow,McCown's Longspur
5420,Savannah Sparrow,Lapland Longspur
5420,Savannah Sparrow,Smith's Longspur
5420,Savannah Sparrow,Chestnut-collared Longspur
5420,Savannah Sparrow,Snow Bunting
5580,White-throated Sparrow,White-collared Seedeater
5580,White-throated Sparrow,Olive Sparrow
5580,White-throated Sparrow,Green-tailed Towhee
5580,White-throated Sparrow,Spotted Towhee
5580,White-throated Sparrow,Eastern Towhee
5580,White-throated Sparrow,Canyon Towhee
5580,White-throated Sparrow,California Towhee
5580,White-throated Sparrow,Abert's Towhee
5580,White-throated Sparrow,Cassin's Sparrow
5580,White-throated Sparrow,Bachman's Sparrow
5580,White-throated Sparrow,Rufous-crowned Sparrow
5580,White-throated Sparrow,American Tree Sparrow
