"Focal","focalAOU","Competitor","compAOU","FocalArea","CompArea","area_overlap","mainCompetitor","PropOverlap"
"Sturnella magna",5010,"Molothrus aeneus",4960,6441974.70173759,2403808.32179126,1032732.83927037,0,0.160313085208455
"Sturnella magna",5010,"Xanthocephalus xanthocephalus",4970,6441974.70173759,4771448.66197803,400032.098491882,0,0.0620977444049853
"Sturnella magna",5010,"Agelaius phoeniceus",4980,6441974.70173759,13768565.541706,4717131.53971621,1,0.732249311448532
"Sturnella magna",5010,"Sturnella neglecta",5011,6441974.70173759,6733307.97728513,891062.385779367,0,0.138321310938868
"Sturnella magna",5010,"Icterus gularis",5031,6441974.70173759,560729.64960872,319583.337273662,0,0.0496095300075396
"Sturnella magna",5010,"Euphagus carolinus",5090,6441974.70173759,7404579.35996029,604219.389214259,0,0.0937941263648991
"Sturnella magna",5010,"Euphagus cyanocephalus",5100,6441974.70173759,5356129.51379686,467177.55303005,0,0.0725208611738321
"Sturnella magna",5010,"Quiscalus quiscula",5110,6441974.70173759,8242761.14181462,3946469.3746137,0,0.612617956035937
"Sturnella magna",5010,"Quiscalus mexicanus",5120,6441974.70173759,5029257.72423635,1715268.68343637,0,0.266264424008637
"Sturnella magna",5010,"Quiscalus major",5130,6441974.70173759,202775.100776625,196646.210596335,0,0.0305257657319414
"Sturnella neglecta",5011,"Molothrus aeneus",4960,6733307.97728513,2403808.32179126,490732.53013782,0,0.0728813432852485
"Sturnella neglecta",5011,"Xanthocephalus xanthocephalus",4970,6733307.97728513,4771448.66197803,4323424.55704532,0,0.64209517396656
"Sturnella neglecta",5011,"Agelaius tricolor",5000,6733307.97728513,113076.68794779,112807.053685197,0,0.0167535859143459
"Sturnella neglecta",5011,"Sturnella magna",5010,6733307.97728513,6441974.70173759,891062.385779367,0,0.13233649623415
"Sturnella neglecta",5011,"Euphagus carolinus",5090,6733307.97728513,7404579.35996029,611544.753462931,0,0.0908238202568459
"Sturnella neglecta",5011,"Euphagus cyanocephalus",5100,6733307.97728513,5356129.51379686,4638005.79414908,1,0.688815335611475
"Sturnella neglecta",5011,"Quiscalus quiscula",5110,6733307.97728513,8242761.14181462,3604149.72798036,0,0.535271777280794
"Sturnella neglecta",5011,"Quiscalus mexicanus",5120,6733307.97728513,5029257.72423635,2474069.10897993,0,0.367437389961401
"Quiscalus quiscula",5110,"Xanthocephalus xanthocephalus",4970,8242761.14181462,4771448.66197803,3234812.51061201,0,0.392442830133966
"Quiscalus quiscula",5110,"Sturnella magna",5010,8242761.14181462,6441974.70173759,3946469.37461366,1,0.478780023673579
