"Species","FocalAOU","stateroute"
"Coccyzus_erythropthalmus",3880,31623
"Coccyzus_erythropthalmus",3880,31765
"Coccyzus_erythropthalmus",3880,31772
"Coccyzus_erythropthalmus",3880,31873
"Coccyzus_erythropthalmus",3880,32097
"Coccyzus_erythropthalmus",3880,32167
"Coccyzus_erythropthalmus",3880,32236
"Coccyzus_erythropthalmus",3880,32340
"Coccyzus_erythropthalmus",3880,32783
"Coccyzus_erythropthalmus",3880,33212
"Coccyzus_erythropthalmus",3880,33270
"Coccyzus_erythropthalmus",3880,33363
"Coccyzus_erythropthalmus",3880,33591
"Coccyzus_erythropthalmus",3880,33956
"Coccyzus_erythropthalmus",3880,34311
"Coccyzus_erythropthalmus",3880,34415
"Coccyzus_erythropthalmus",3880,34542
"Coccyzus_erythropthalmus",3880,34931
"Coccyzus_erythropthalmus",3880,34988
"Coccyzus_erythropthalmus",3880,35071
"Coccyzus_erythropthalmus",3880,35359
"Coccyzus_erythropthalmus",3880,35371
"Coccyzus_erythropthalmus",3880,35526
"Coccyzus_erythropthalmus",3880,35611
"Coccyzus_erythropthalmus",3880,35694
"Coccyzus_erythropthalmus",3880,35830
"Coccyzus_erythropthalmus",3880,35984
"Coccyzus_erythropthalmus",3880,36040
"Coccyzus_erythropthalmus",3880,36231
"Coccyzus_erythropthalmus",3880,36392
"Coccyzus_erythropthalmus",3880,36624
"Coccyzus_erythropthalmus",3880,36738
"Coccyzus_erythropthalmus",3880,36860
"Coccyzus_erythropthalmus",3880,36925
"Coccyzus_erythropthalmus",3880,37167
"Coccyzus_erythropthalmus",3880,37285
"Coccyzus_erythropthalmus",3880,37376
"Coccyzus_erythropthalmus",3880,37469
"Coccyzus_erythropthalmus",3880,37520
"Coccyzus_erythropthalmus",3880,37640
"Coccyzus_erythropthalmus",3880,37790
"Coccyzus_erythropthalmus",3880,37870
"Coccyzus_erythropthalmus",3880,37978
"Coccyzus_erythropthalmus",3880,38097
"Coccyzus_erythropthalmus",3880,38229
"Coccyzus_erythropthalmus",3880,38330
"Coccyzus_erythropthalmus",3880,38386
"Coccyzus_erythropthalmus",3880,38583
"Coccyzus_erythropthalmus",3880,38715
"Coccyzus_erythropthalmus",3880,38749
"Coccyzus_erythropthalmus",3880,40374
"Coccyzus_erythropthalmus",3880,40521
"Coccyzus_erythropthalmus",3880,40592
"Coccyzus_erythropthalmus",3880,40741
"Coccyzus_erythropthalmus",3880,42561
"Coccyzus_erythropthalmus",3880,42648
"Coccyzus_erythropthalmus",3880,43213
"Coccyzus_erythropthalmus",3880,43320
"Coccyzus_erythropthalmus",3880,43604
"Coccyzus_erythropthalmus",3880,43708
"Coccyzus_erythropthalmus",3880,43867
"Coccyzus_erythropthalmus",3880,43947
"Coccyzus_erythropthalmus",3880,44077
"Coccyzus_erythropthalmus",3880,44174
"Coccyzus_erythropthalmus",3880,44225
"Coccyzus_erythropthalmus",3880,44375
"Coccyzus_erythropthalmus",3880,44597
"Coccyzus_erythropthalmus",3880,44676
"Coccyzus_erythropthalmus",3880,44811
"Coccyzus_erythropthalmus",3880,44971
"Coccyzus_erythropthalmus",3880,45074
"Coccyzus_erythropthalmus",3880,45139
"Coccyzus_erythropthalmus",3880,47898
"Coccyzus_erythropthalmus",3880,48005
"Coccyzus_erythropthalmus",3880,48070
"Coccyzus_erythropthalmus",3880,48214
"Coccyzus_erythropthalmus",3880,48356
"Coccyzus_erythropthalmus",3880,48432
"Coccyzus_erythropthalmus",3880,48534
"Coccyzus_erythropthalmus",3880,48643
"Coccyzus_erythropthalmus",3880,48718
"Coccyzus_erythropthalmus",3880,48806
"Coccyzus_erythropthalmus",3880,48919
"Coccyzus_erythropthalmus",3880,48955
"Coccyzus_erythropthalmus",3880,49098
"Coccyzus_erythropthalmus",3880,49163
"Coccyzus_erythropthalmus",3880,49318
"Coccyzus_erythropthalmus",3880,49423
"Coccyzus_erythropthalmus",3880,49456
"Coccyzus_erythropthalmus",3880,49570
"Coccyzus_erythropthalmus",3880,49654
"Coccyzus_erythropthalmus",3880,49757
"Coccyzus_erythropthalmus",3880,49862
"Coccyzus_erythropthalmus",3880,50683
"Coccyzus_erythropthalmus",3880,51714
"Coccyzus_erythropthalmus",3880,52212
"Coccyzus_erythropthalmus",3880,52439
"Coccyzus_erythropthalmus",3880,52761
"Coccyzus_erythropthalmus",3880,52971
"Coccyzus_erythropthalmus",3880,53005
"Coccyzus_erythropthalmus",3880,53178
"Coccyzus_erythropthalmus",3880,53297
"Coccyzus_erythropthalmus",3880,53554
"Coccyzus_erythropthalmus",3880,53594
"Coccyzus_erythropthalmus",3880,53732
"Coccyzus_erythropthalmus",3880,53841
"Coccyzus_erythropthalmus",3880,54006
"Coccyzus_erythropthalmus",3880,54101
"Coccyzus_erythropthalmus",3880,54169
"Coccyzus_erythropthalmus",3880,54271
"Coccyzus_erythropthalmus",3880,54420
"Coccyzus_erythropthalmus",3880,54720
"Coccyzus_erythropthalmus",3880,54785
"Coccyzus_erythropthalmus",3880,54956
"Coccyzus_erythropthalmus",3880,55101
"Coccyzus_erythropthalmus",3880,55197
"Coccyzus_erythropthalmus",3880,55511
"Coccyzus_erythropthalmus",3880,55645
"Coccyzus_erythropthalmus",3880,55898
"Coccyzus_erythropthalmus",3880,56700
"Coccyzus_erythropthalmus",3880,57197
"Coccyzus_erythropthalmus",3880,57320
"Coccyzus_erythropthalmus",3880,57361
"Coccyzus_erythropthalmus",3880,57469
"Coccyzus_erythropthalmus",3880,57599
"Coccyzus_erythropthalmus",3880,57728
"Coccyzus_erythropthalmus",3880,57853
"Coccyzus_erythropthalmus",3880,57941
"Coccyzus_erythropthalmus",3880,58015
"Coccyzus_erythropthalmus",3880,58109
"Coccyzus_erythropthalmus",3880,58233
"Coccyzus_erythropthalmus",3880,58339
"Coccyzus_erythropthalmus",3880,58588
"Coccyzus_erythropthalmus",3880,58701
"Coccyzus_erythropthalmus",3880,58864
"Coccyzus_erythropthalmus",3880,58915
"Coccyzus_erythropthalmus",3880,59051
"Coccyzus_erythropthalmus",3880,59108
"Coccyzus_erythropthalmus",3880,59200
"Coccyzus_erythropthalmus",3880,59314
"Coccyzus_erythropthalmus",3880,59388
"Coccyzus_erythropthalmus",3880,59568
"Coccyzus_erythropthalmus",3880,59632
"Coccyzus_erythropthalmus",3880,59754
"Coccyzus_erythropthalmus",3880,59849
"Coccyzus_erythropthalmus",3880,59943
"Coccyzus_erythropthalmus",3880,61513
"Coccyzus_erythropthalmus",3880,61626
"Coccyzus_erythropthalmus",3880,61761
"Coccyzus_erythropthalmus",3880,61850
"Coccyzus_erythropthalmus",3880,61941
"Coccyzus_erythropthalmus",3880,62021
"Coccyzus_erythropthalmus",3880,62230
"Coccyzus_erythropthalmus",3880,62346
"Coccyzus_erythropthalmus",3880,62467
"Coccyzus_erythropthalmus",3880,62590
"Coccyzus_erythropthalmus",3880,62653
"Coccyzus_erythropthalmus",3880,62858
"Coccyzus_erythropthalmus",3880,62947
"Coccyzus_erythropthalmus",3880,63105
"Coccyzus_erythropthalmus",3880,63213
"Coccyzus_erythropthalmus",3880,63375
"Coccyzus_erythropthalmus",3880,63428
"Coccyzus_erythropthalmus",3880,63517
"Coccyzus_erythropthalmus",3880,63652
"Coccyzus_erythropthalmus",3880,63752
"Coccyzus_erythropthalmus",3880,63828
"Coccyzus_erythropthalmus",3880,63958
"Coccyzus_erythropthalmus",3880,63981
"Coccyzus_erythropthalmus",3880,64084
